country	Continent	Region	pop	density	pct.urban	pct.gr	br	dr	fert	under.5.mort
Grenada	Latin America and the Caribbean	Caribbean	80.3	233.5	39.5	-0.3	NA	NA	NA	NA
Guadeloupe	Latin America and the Caribbean	Caribbean	439.6	257.8	99.7	0.8	16.1	6.2	2.1	9.7
Haiti	Latin America and the Caribbean	Caribbean	8326.3	300	37.6	1.3	30.3	14.6	4	111.5
Jamaica	Latin America and the Caribbean	Caribbean	2650.9	241.2	57.6	0.9	20.5	5.7	2.4	24.7
Martinique	Latin America and the Caribbean	Caribbean	392.6	356.2	95.7	0.6	13.7	6.9	1.9	8.5
Montserrat	Latin America and the Caribbean	Caribbean	3.5	34.4	13.4	0.3	NA	NA	NA	NA
Netherlands Antilles	Latin America and the Caribbean	Caribbean	220.8	276	69.7	0.8	15	6.2	2.1	14.2
Puerto Rico	Latin America and the Caribbean	Caribbean	3879	436	76.3	0.5	14.3	8.3	1.9	12.2
Saint Kitts and Nevis	Latin America and the Caribbean	Caribbean	41.8	160	34.6	-0.3	NA	NA	NA	NA
Saint Lucia	Latin America and the Caribbean	Caribbean	149.2	239.9	38.5	0.8	20.4	5.9	2.3	19.3
Saint Vincent and the Grenadines	Latin America and the Caribbean	Caribbean	119.8	308.9	58.3	0.6	20	5.8	2.2	18
Trinidad and Tobago	Latin America and the Caribbean	Caribbean	1302.7	253.9	75.3	0.3	13.7	7.3	1.6	18.6
Turks and Caicos Islands	Latin America and the Caribbean	Caribbean	20.6	47.9	46.4	3.5	NA	NA	NA	NA
United States Virgin Islands	Latin America and the Caribbean	Caribbean	111.5	321.2	47.2	0.9	14.4	5.7	2.1	11.2
Central America	Latin America and the Caribbean	Central America	142275	57.4	69	1.7	24.2	5.2	2.8	37.5
Belize	Latin America and the Caribbean	Central America	255.9	11.1	48.3	2.1	27	5.3	3.2	42.2
Costa Rica	Latin America and the Caribbean	Central America	4172.9	81.7	60.6	1.9	19.1	3.9	2.3	12.2
El Salvador	Latin America and the Caribbean	Central America	6515.4	309.7	63.7	1.6	25.1	5.9	2.9	34.7
Guatemala	Latin America and the Caribbean	Central America	12346.9	113.4	40.6	2.6	34.2	6.7	4.4	54.3
Honduras	Latin America and the Caribbean	Central America	6940.6	61.9	55.6	2.3	30	5.7	3.7	48
Mexico	Latin America and the Caribbean	Central America	103457	52.8	75	1.5	22.4	5	2.5	34.4
Nicaragua	Latin America and the Caribbean	Central America	5465.9	42	57.3	2.4	31.6	5.1	3.7	45.2
Panama	Latin America and the Caribbean	Central America	3120.4	41.3	57.2	1.8	22.7	5	2.7	26.9
South America	Latin America and the Caribbean	South America	362278.4	20.3	81	1.4	20.8	6.6	2.5	40.3
Argentina	Latin America and the Caribbean	South America	38427.8	13.9	88.6	1.2	19	7.6	2.4	23.2
Bolivia	Latin America and the Caribbean	South America	8808.4	8	64	1.9	29.3	8.1	3.8	72.2
Brazil	Latin America and the Caribbean	South America	178470.4	21	82.9	1.2	19.7	7.1	2.2	45.5
Chile	Latin America and the Caribbean	South America	15805.5	20.9	86.6	1.2	18.2	5.6	2.4	13.7
Colombia	Latin America and the Caribbean	South America	44222.3	38.8	76.5	1.6	22.2	5.4	2.6	32.8
Ecuador	Latin America and the Caribbean	South America	13002.5	45.9	64.3	1.5	23	5.8	2.8	54.6
Falkland Islands (Malvinas)	Latin America and the Caribbean	South America	3.1	0.3	82.2	0.5	NA	NA	NA	NA
French Guiana	Latin America and the Caribbean	South America	177.9	2	75.4	2.5	24.5	3.7	3.3	16.2
Guyana	Latin America and the Caribbean	South America	765.5	3.6	37.5	0.2	21.9	9	2.3	70.3
Paraguay	Latin America and the Caribbean	South America	5878.1	14.5	58	2.4	29.6	5.1	3.8	45.2
Peru	Latin America and the Caribbean	South America	27167.2	21.1	73.9	1.5	23.3	6.1	2.9	52.2
Suriname	Latin America and the Caribbean	South America	435.5	2.7	76	0.8	21.7	5.9	2.5	29.1
Uruguay	Latin America and the Caribbean	South America	3415.3	19.3	92.6	0.7	16.8	9.1	2.3	15.3
Venezuela	Latin America and the Caribbean	South America	25698.8	28.2	87.7	1.9	22.8	4.6	2.7	22.3
Northern America	Northern America	Northern America	325698	15.1	78	1	14.1	8.2	2.1	8.2
Bermuda	Northern America	Northern America	81.6	1539.5	100	0.7	NA	NA	NA	NA
Canada	Northern America	Northern America	31510.3	3.2	79.3	0.8	10.3	7.5	1.5	6.4
Greenland	Northern America	Northern America	56.6	0	82.7	0.3	NA	NA	NA	NA
Saint-Pierre-et-Miquelon	Northern America	Northern America	6.3	26.2	92.4	0.1	NA	NA	NA	NA
