COUNTRY_NAME,IND1_DESC,1999,2000,2001,2002,2003
Bhutan,Aid per capita (current US$),85.47,66.16,73.09,86.32,NA
Bhutan,CO2 emissions (metric tons per capita),0.49,0.49,NA,NA,NA
Bhutan,"Fertility rate, total (births per woman)",NA,5.36,NA,5.1,NA
Bhutan,GDP (current US$),4.45E+08,4.84E+08,5.28E+08,5.91E+08,6.45E+08
Bhutan,GDP growth (annual %),7,7,7,7.69,6.7
Bhutan,"Life expectancy at birth, total (years)",NA,62.22,NA,63.22,NA
Bhutan,"Mortality rate, infant (per 1,000 live births)",NA,77,NA,74,NA
Bhutan,"Mortality rate, under-5 (per 1,000)",NA,100,NA,94,NA
Bhutan,Population growth (annual %),2.99,2.9,2.82,2.74,2.67
Bhutan,"Population, total",782000,805000,828000,851000,874000
Bhutan,"Primary completion rate, female (% of relevant age group)",NA,37.65,40.39,44.16,NA
Bhutan,"Primary completion rate, total (% of relevant age group)",NA,40.67,42.14,43.7,NA
Bolivia,Aid per capita (current US$),68.99,56.32,85.35,77.31,NA
Bolivia,CO2 emissions (metric tons per capita),1.4,1.31,NA,NA,NA
Bolivia,Electric power consumption (kwh per capita),385.09,382.53,402.58,NA,NA
Bolivia,Energy use (kg of oil equivalent per capita),574.18,584.84,495.65,NA,NA
Bolivia,"Fertility rate, total (births per woman)",NA,3.93,NA,3.75,NA
Bolivia,GDP (current US$),8.29E+09,8.39E+09,8.02E+09,7.80E+09,8.02E+09
Bolivia,GDP growth (annual %),0.43,2.28,1.51,2.75,2.45
Bolivia,"Life expectancy at birth, total (years)",62.06,62.56,NA,63.56,NA
Bolivia,"Literacy rate, adult female (% of females ages 15 and above)",78.34,79.16,80.65,NA,NA
Bolivia,"Literacy rate, adult total (% of people ages 15 and above)",84.77,85.42,86.72,NA,NA
Bolivia,"Mortality rate, infant (per 1,000 live births)",NA,62,NA,56,NA
Bolivia,"Mortality rate, under-5 (per 1,000)",NA,80,NA,71,NA
Bolivia,Population growth (annual %),2.26,2.13,2.22,2.2,1.92
Bolivia,"Population, total",8250000,8428000,8617000,8809000,8980000
Bolivia,"Poverty headcount, national (% of population)",62.7,NA,NA,NA,NA
Bolivia,"Primary completion rate, female (% of relevant age group)",NA,79.96,82.3,87.29,NA
Bolivia,"Primary completion rate, total (% of relevant age group)",NA,82.38,85.1,89.12,NA
Bolivia,"School enrollment, primary (% net)",95.65,94.98,94.23,NA,NA
Bolivia,"School enrollment, secondary (% net)",NA,67.34,NA,NA,NA
Bosnia and Herzegovina,Aid per capita (current US$),268.61,185.34,157.55,142.84,NA
Bosnia and Herzegovina,CO2 emissions (metric tons per capita),4.04,4.84,NA,NA,NA
Bosnia and Herzegovina,Electric power consumption (kwh per capita),1402.79,1473.47,1444.42,NA,NA
Bosnia and Herzegovina,Energy use (kg of oil equivalent per capita),914.79,1096.05,1074.44,NA,NA
Bosnia and Herzegovina,"Fertility rate, total (births per woman)",NA,1.42,NA,1.3,NA
Bosnia and Herzegovina,GDP (current US$),4.69E+09,4.55E+09,5.01E+09,5.60E+09,6.96E+09
Bosnia and Herzegovina,GDP growth (annual %),9.6,5.6,4.5,3.9,3.5
Bosnia and Herzegovina,"Life expectancy at birth, total (years)",73.05,73.33,NA,73.88,NA
Bosnia and Herzegovina,"Literacy rate, adult female (% of females ages 15 and above)",NA,91.1,NA,NA,NA
Bosnia and Herzegovina,"Literacy rate, adult total (% of people ages 15 and above)",NA,94.6,NA,NA,NA
Bosnia and Herzegovina,"Mortality rate, infant (per 1,000 live births)",NA,15,NA,15,NA
Bosnia and Herzegovina,"Mortality rate, under-5 (per 1,000)",NA,18,NA,18,NA
Bosnia and Herzegovina,Population growth (annual %),2.83,2.65,1.99,1.35,0.68
